anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
2019,territorio,C-5,PUNO,puno,puno,PUNO -> zona con mismo nombre que la region; region_madre=puno,zona,puno,1.0,,948.0,,7584.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,TRUJILLO,trujillo,trujillo,TRUJILLO -> zona; region_madre=la_libertad,zona,la_libertad,1.0,,989.0,,55384.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,TUMBES,tumbes,tumbes,TUMBES -> region homologada tumbes,regional,tumbes,1.0,,52.0,,1664.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,TUMBES,tumbes,tumbes,TUMBES -> zona con mismo nombre que la region; region_madre=tumbes,zona,tumbes,1.0,,52.0,,1664.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,UCAYALI,ucayali,ucayali,UCAYALI -> region homologada ucayali,regional,ucayali,1.0,,150.0,,29496.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2020,actividad,C-3,ADMINISTRACIÓN PÚBLICA Y DEFENSA,adm_publica,adm_publica,administracion publica -> adm_publica,,,8.0,34.78260869565217,97980.0,76.62589545468764,3076408.0,84.21169040486326,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2020,actividad,C-3,ENSEÑANZA,ensenanza,ensenanza,ensenanza -> ensenanza,,,1.0,4.347826086956522,700.0,0.5474395470328777,5600.0,0.1532909374397786,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2020,actividad,C-3,"INTERMEDIACIÓN FINANCIERA, AFP",financiero,financiero,intermediacion financiera/AFP -> financiero,,,2.0,8.695652173913043,3271.0,2.558106797635061,26168.0,0.7163066519507367,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2020,actividad,C-3,INDUSTRIAS MANUFACTURERAS,manufactura,manufactura,manufacturas -> manufactura,,,2.0,8.695652173913043,2459.0,1.923076923076923,128624.0,3.520873845938228,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2020,actividad,C-3,EXPLOTACIÓN DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,,,6.0,26.08695652173913,1563.0,1.22235430287484,63472.0,1.737443282353147,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
