anio,modulo,hoja_excel,metrica,total_extraido,total_fuente,diferencia,estado,archivo_homologado,carpeta_bloque
2005,calificacion,C-7,trabajadores_comprendidos,19022.0,19022.0,0.0,ok,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020
2006,calificacion,C-7,horas_hombre_perdidas,446584.0,446584.0,0.0,ok,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020
2006,calificacion,C-7,huelgas,67.0,67.0,0.0,ok,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020
2006,calificacion,C-7,trabajadores_comprendidos,19565.0,19565.0,0.0,ok,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020
2007,calificacion,C-7,horas_hombre_perdidas,2216520.0,2216520.0,0.0,ok,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020
2007,calificacion,C-7,huelgas,73.0,73.0,0.0,ok,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020
2007,calificacion,C-7,trabajadores_comprendidos,48096.0,48096.0,0.0,ok,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020
2008,calificacion,C-7,horas_hombre_perdidas,1520960.0,1520960.0,0.0,ok,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020
2008,calificacion,C-7,huelgas,63.0,63.0,0.0,ok,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020
2008,calificacion,C-7,trabajadores_comprendidos,34011.0,34011.0,0.0,ok,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020
2009,calificacion,C-7,horas_hombre_perdidas,1452466.0,1452466.0,0.0,ok,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020
2009,calificacion,C-7,huelgas,99.0,99.0,0.0,ok,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020
2009,calificacion,C-7,trabajadores_comprendidos,36114.0,36114.0,0.0,ok,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020
2010,calificacion,C-7,horas_hombre_perdidas,1279380.0,1279380.0,0.0,ok,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020
2010,calificacion,C-7,huelgas,83.0,83.0,0.0,ok,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020
2010,calificacion,C-7,trabajadores_comprendidos,30606.0,30606.0,0.0,ok,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020
2011,calificacion,C-7,horas_hombre_perdidas,1799416.0,1799416.0,0.0,ok,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020
2011,calificacion,C-7,huelgas,84.0,84.0,0.0,ok,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020
2011,calificacion,C-7,trabajadores_comprendidos,26770.0,26770.0,0.0,ok,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020
2012,calificacion,C-7,horas_hombre_perdidas,1878696.0,1878696.0,0.0,ok,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020
2012,calificacion,C-7,huelgas,89.0,89.0,0.0,ok,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020
2012,calificacion,C-7,trabajadores_comprendidos,25845.0,25845.0,0.0,ok,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020
2013,calificacion,C-7,horas_hombre_perdidas,1573202.0,1573202.0,0.0,ok,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020
2013,calificacion,C-7,huelgas,94.0,94.0,0.0,ok,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020
2013,calificacion,C-7,trabajadores_comprendidos,26736.0,26736.0,0.0,ok,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020
2014,calificacion,C-7,horas_hombre_perdidas,3153018.0,3153018.0,0.0,ok,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020
2014,calificacion,C-7,huelgas,95.0,95.0,0.0,ok,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020
2014,calificacion,C-7,trabajadores_comprendidos,40681.0,40681.0,0.0,ok,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020
2015,calificacion,C-7,horas_hombre_perdidas,1925632.0,1925632.0,0.0,ok,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020
2015,calificacion,C-7,huelgas,47.0,47.0,0.0,ok,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020
2015,calificacion,C-7,trabajadores_comprendidos,32066.0,32066.0,0.0,ok,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020
2016,calificacion,C-7,horas_hombre_perdidas,3084056.0,3084056.0,0.0,ok,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020
2016,calificacion,C-7,huelgas,41.0,41.0,0.0,ok,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020
2016,calificacion,C-7,trabajadores_comprendidos,20463.0,20463.0,0.0,ok,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020
2017,calificacion,C-7,horas_hombre_perdidas,3006494.0,3006494.0,0.0,ok,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020
2017,calificacion,C-7,huelgas,45.0,45.0,0.0,ok,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020
2017,calificacion,C-7,trabajadores_comprendidos,56610.0,56610.0,0.0,ok,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020
2018,calificacion,C-7,horas_hombre_perdidas,738864.0,738864.0,0.0,ok,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020
2018,calificacion,C-7,huelgas,54.0,54.0,0.0,ok,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020
2018,calificacion,C-7,trabajadores_comprendidos,21496.0,21496.0,0.0,ok,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020
2019,calificacion,C-7,horas_hombre_perdidas,2085856.0,2085856.0,0.0,ok,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020
2019,calificacion,C-7,huelgas,67.0,67.0,0.0,ok,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020
2019,calificacion,C-7,trabajadores_comprendidos,110154.0,110154.0,0.0,ok,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020
2020,calificacion,C-7,horas_hombre_perdidas,3653184.0,3653184.0,0.0,ok,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020
2020,calificacion,C-7,huelgas,23.0,23.0,0.0,ok,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020
2020,calificacion,C-7,trabajadores_comprendidos,127868.0,127868.0,0.0,ok,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020
2021,calificacion,C-88,horas_hombre_perdidas,3027240.0,3027240.0,0.0,ok,huelgas_2021_homologado.xlsx,era3_homologados
2021,calificacion,C-88,huelgas,38.0,38.0,0.0,ok,huelgas_2021_homologado.xlsx,era3_homologados
2021,calificacion,C-88,trabajadores_comprendidos,209142.0,209142.0,0.0,ok,huelgas_2021_homologado.xlsx,era3_homologados
2022,calificacion,C-97,horas_hombre_perdidas,2122932.0,2122932.0,0.0,ok,huelgas_2022_homologado.xlsx,era3_homologados
2022,calificacion,C-97,huelgas,41.0,41.0,0.0,ok,huelgas_2022_homologado.xlsx,era3_homologados
2022,calificacion,C-97,trabajadores_comprendidos,29145.0,29145.0,0.0,ok,huelgas_2022_homologado.xlsx,era3_homologados
2023,calificacion,C-98,horas_hombre_perdidas,1462009.0,1462009.0,0.0,ok,huelgas_2023_homologado.xlsx,era3_homologados
2023,calificacion,C-98,huelgas,55.0,55.0,0.0,ok,huelgas_2023_homologado.xlsx,era3_homologados
2023,calificacion,C-98,trabajadores_comprendidos,77883.0,77883.0,0.0,ok,huelgas_2023_homologado.xlsx,era3_homologados
2024,calificacion,C-98,horas_hombre_perdidas,2295516.0,2295516.0,0.0,ok,huelgas_2024_homologado.xlsx,era3_homologados
2024,calificacion,C-98,huelgas,63.0,63.0,0.0,ok,huelgas_2024_homologado.xlsx,era3_homologados
2024,calificacion,C-98,trabajadores_comprendidos,76704.0,76704.0,0.0,ok,huelgas_2024_homologado.xlsx,era3_homologados
