anio,archivo_homologado,carpeta_bloque,tipo_anio,modulo,filas_modulo,modulo_con_datos,estados_validacion,modulo_no_disponible_fuente
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,43,1,estructura_mixta,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,9,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,7,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,50,1,estructura_mixta,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,7,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,30,1,estructura_mixta,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,7,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,5,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,16,1,estructura_mixta,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,actividad,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,organizacion,4,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,territorio,24,1,"estructura_mixta, ok",0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,actividad,11,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,organizacion,5,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,tamano,9,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,territorio,19,1,"estructura_mixta, ok",0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,actividad,10,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,organizacion,5,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,territorio,24,1,"estructura_mixta, ok",0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,actividad,11,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,organizacion,4,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,territorio,22,1,"estructura_mixta, ok",0
